"id","titel","titelkort","offentlighedskode","nummer","nummerprefix","nummerpostfix","resume","afstemningskonklusion","afgørelsesresultatkode","baggrundsmateriale","opdateringsdato","begrundelse","paragrafnummer","paragraf","afgørelsesdato","afgørelse","rådsmødedato","lovnummerdato","retsinformationsurl","fremsatundersagid","typeid","kategoriid","statusid","periodeid","lovnummer","nummernumerisk","statsbudgetsag","deltundersagid"
2667,"Forslag til folketingsbeslutning om forhøjelse af det statslige tilskud til Gammel Estrup – Herregårdsmuseet.","Om forhøjelse af det statslige tilskud til Gammel Estrup – Herregårdsmuseet.","O","B 45","B","","Med beslutningsforslaget foresloges en forhøjelse af det statslige tilskud til det statsanerkendte specialmuseum Gammel Estrup – Herregårdsmuseet, så museet kunne leve op til museumslovens skærpede krav om formidling og bl.a. oprette en skoletjeneste. Inden for de midler, der var til rådighed for samtlige statslige og statsanerkendte museer, blev det foreslået at hæve tilskuddet til Gammel Estrup fra 2,3 mio. kr. årligt til 5 mio. kr. årligt.

Beslutningsforslaget afstedkom en debat og et ønske om en mere samlet vurdering af fordelingen af de statslige midler på museumsområdet, og kulturministeren indbød partiernes ordførere til et møde herom. ",NULL,NULL,NULL,"2017-12-05T19:46:03.29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,15,13,32,NULL,"45",False,NULL
2668,"Forslag til folketingsbeslutning om arbejdstilladelse til EU-/EØS-borgere.","Om arbejdstilladelse til EU-/EØS-borgere.","O","B 49","B","","Forslaget pålagde regeringen i folketingssamlingen 2013-14 at fremsætte lovforslag, der sikrede: 
- at EU-borgeres beskæftigelse i Danmark var betinget af, at danske myndigheder havde udstedt en arbejdstilladelse, der kun kunne udstedes, hvis der forelå en arbejdskontrakt, hvoraf det fremgik, at ansættelsen skete på sædvanlige løn- og ansættelsesvilkår, og at en fagforening havde kontrolleret, at denne betingelse var opfyldt,
- at brud på reglerne blev betragtet som illegalt arbejde og blev behandlet efter de sædvanlige regler i udlændingeloven, dog med indførelse af skærpede bøde- og fængselsstraffe for virksomheder, der ansatte illegal arbejdskraft, og
- at reglerne også skulle gælde for udenlandske arbejdere, der var ansat i udenlandske virksomheder, som leverede service- og tjenesteydelser her i landet.",NULL,NULL,NULL,"2019-04-03T14:11:43.687",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,15,13,32,NULL,"49",False,NULL
2669,"Forslag til folketingsbeslutning om EU-/EØS-borgeres optjening af dagpengeret.","Om EU-/EØS-borgeres optjening af dagpengeret.","O","B 51","B","","Forslaget pålagde regeringen i indeværende folketingssamling at fremsætte lovforslag, som sikrede, at kun arbejde i Danmark og medlemskab af en dansk arbejdsløshedskasse kunne tælles med ved optjening af dagpengeret, medmindre andet fremgik af mellemstatslige aftaler mellem Danmark og et eller flere andre lande.",NULL,NULL,NULL,"2017-12-05T19:46:17.497",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,15,13,32,NULL,"51",False,NULL
2670,"Forslag til folketingsbeslutning om målretning af børne- og ungeydelsen.","Om målretning af børne- og ungeydelsen.","O","B 50","B","","Forslaget pålagde regeringen i folketingssamlingen 2013-14 at fremsætte lovforslag, som sikrede, at børne- og ungeydelsen som hovedregel ikke blev udbetalt til forsørgere, hvis børn ikke havde bopæl i Danmark.",NULL,NULL,NULL,"2017-12-05T19:46:14.087",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,15,13,32,NULL,"50",False,NULL
2671,"Forslag til lov om ændring af lov om almene boliger m.v. og lov om boligbyggeri. (Statsgaranti ved skift af låntype til finansiering af alment byggeri m.v. og forlængelse af særordning for 4. maj-kollegierne m.v.).","Om statsgaranti ved skift af lånetype til finansiering af alment byggeri m.v. ","O","L 135","L","","Loven indeholder to hovedelementer. For det første giver loven hjemmel til, at staten kan garantere for nye lån, der skal anvendes til finansiering af nyt støttet byggeri, frem til det tidspunkt, hvor der sker tinglysning af det pantebrev, der sikrer det nye lån. Hermed sikres, at finansieringen af det almene byggeri hurtigere kan tilpasses skiftende markedsforhold. 

For det andet forlænges den særordning, der gælder for 4. maj-kollegierne, hvorved kollegierne fritages fra de almindelige krav, som gælder for bestyrelsens sammensætning og anvisning af ledige boliger. Den nuværende ordning for kollegierne udløber med udgangen af 2015.","Vedtaget  103 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)  0 stemmer imod forslaget  0 stemmer hverken for eller imod forslaget  ",NULL,NULL,"2017-12-05T19:46:21.07",NULL,NULL,NULL,NULL,NULL,NULL,"2014-04-28T00:00:00",NULL,NULL,3,13,11,32,"402","135",False,NULL
2672,"Forslag til lov om ændring af lov om trafikselskaber og lov om vægtafgift af motorkøretøjer m.v. (Ændring af finansieringsmodellen for trafikselskabet på Sjælland, organiseringen af den offentlige servicetrafik i Østdanmark, buspassagerrettighedsforordningen m.v.).","Om trafikselskaber m.v.","O","L 136","L","","Med loven foreslås en ny finansieringsmodel, hvor trafikselskabets administrationsudgifter, som på nuværende tidspunkt alene finansieres af Region Hovedstaden og Region Sjælland, vil skulle finansieres af både regioner og kommuner. Endvidere skal der til gavn for kunderne skabes et forbedret samarbejde mellem DSB, Movia og Metroselskabet I/S om den offentlige servicetrafik inden for trafikselskabet på Sjællands geografiske område. Endelig åbnes der mulighed for, at Region Nordjylland kan overtage trafikkøberansvaret for lokaltogstrafik på strækningen Skørping-Frederikshavn.",NULL,NULL,NULL,"2017-12-05T19:46:21.227",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,13,40,32,NULL,"136",False,NULL
2673,"Forslag til folketingsbeslutning om samfundsmæssig overtagelse af Nets.","Om samfundsmæssig overtagelse af Nets.","O","B 54","B","","Ifølge forslaget skulle regeringen arbejde for en samfundsmæssig overtagelse af Nets, f.eks. ved at lade Nationalbanken overtage de aktier, bankerne havde sat til salg. Prisen skulle efter forslaget fastlægges ud fra en vurdering af selskabets aktuelle værdi. Om nødvendigt skulle grundlovens § 73, stk. 1, om ekspropriation og betaling af fuld erstatning bringes i anvendelse.",NULL,NULL,NULL,"2017-12-05T19:46:22.693",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,15,13,32,NULL,"54",False,NULL
2674,"Forslag til beslutningsforslag om afskaffelse af G-dage.","Om afskaffelse af G-dage.","O","B 52","B","","Forslaget skulle sikre, at regeringen inden udgangen af indeværende folketingsår fremsatte lovforslag om afskaffelse af den arbejdsgiverbetalte dagpengegodtgørelse (G-dage) for personer med ansættelse i mindre end 3 måneder.","Forkastet

13 stemmer for forslaget (DF)

58 stemmer imod forslaget (S, RV, SF, EL, UFG)

38 stemmer hverken for eller imod forslaget (V, LA, KF)

",NULL,NULL,"2018-10-02T12:56:49.097",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,15,3,32,NULL,"52",False,NULL
2675,"Forslag til lov om ændring af lov om nedsættelse af statstilskuddet til kommuner ved forhøjelser af den kommunale skatteudskrivning. (Ophævelse af lovens revionsbestemmelse).","Om den kommunale skatteudskrivning ","O","L 143","L","","Loven indebærer en ophævelse af revisionsbestemmelsen i loven og betyder, at de nuværende regler videreføres. Dette betyder, at hvis den samlede kommunale beskatning forhøjes, modregnes forhøjelsen i det kommunale bloktilskud gennem en kombination af individuelle og kollektive nedsættelser af bloktilskuddet.","Vedtaget

103 stemmer for forslaget (V, S, DF, RV, SF, Frank Aaen (EL), LA, KF, UFG)

7 stemmer imod forslaget (EL)

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:46:33.113",NULL,NULL,NULL,NULL,NULL,NULL,"2014-06-25T00:00:00",NULL,NULL,3,13,11,32,"751","143",False,NULL
2676,"Forslag til folketingsbeslutning om demokratisk debat før salg af Nets.","Om demokratisk debat før salg af Nets.","O","B 53","B","","Forslaget skulle sikre, at statens ejerandele og Nationalbankens aktier i Nets ikke blev solgt, før konsekvenserne af et ejerskifte var analyseret og mulighederne for en samfundsmæssig overtagelse undersøgt. Til at analysere problemstillingen med datasikkerhed skulle der efter forslaget nedsættes en særlig og uafhængig ekspertgruppe, der skulle fremlægge en analyse, i god tid før et salg blev gennemført.

Efter forslaget skulle regeringen forud for et salg til private fremsætte lovforslag, der sikrede, at Nets' forskellige samfundsvigtige funktioner ikke blev til en pengemaskine for kapitalfonde, og lovforslag, der sikrede en effektiv beskyttelse af personfølsomme data, bl.a. ved at kræve, at nye ejere og Nets' servere var placeret i Danmark.",NULL,NULL,NULL,"2017-12-05T19:46:23.35",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,15,13,32,NULL,"53",False,NULL
2677,"Forslag til lov om formidling af fast ejendom m.v.","Om formidling af fast ejendom m.v.","O","L 137","L","","Loven indebærer, at ejendomsmægleren fremover ikke må formidle lån til finansiering af køb af fast ejendom. Loven stiller endvidere krav om, at der skal udpeges en ansvarlig mægler for hvert formidlingsopdrag, så forbrugeren får mulighed for at indbringe en mægler for Disciplinærnævnet for Ejendomsmæglere, hvis der sker fejl i forbindelse med en handel. 

En række af ejendomsmæglerens rådgivningspligter og oplysningskrav bliver ophævet henholdsvis justeret, så forbrugerne fremover alene præsenteres for de oplysninger, der er af central betydning for bolighandelen. I tillæg hertil bliver kravet om, at brutto- og nettoudgifterne skal fremgå af salgsopstillingen, erstattet af oplysninger om ejendommens kontantpris og ejerudgifter for at give forbrugeren et mere retvisende billede af, hvad en ejendom reelt koster. 

Loven ophæver herudover de gældende begrænsninger for, hvordan ejendomsmæglere kan aftale vederlag, og indfører hjemmel til, at der kan fastsættes regler om åbenhed om indkomne købstilbud med henblik på at øge gennemsigtigheden for forbrugerne. 

Formålet med loven er at forbedre forbrugerbeskyttelsen og forbrugerinformationen, lette administrative byrder, øge konkurrencen og skabe et mere effektivt boligmarked. 

Loven træder i kraft den 1. januar 2015.","Vedtaget

92 stemmer for forslaget (V, S, RV, SF, EL, LA, KF, UFG)

13 stemmer imod forslaget (DF)

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:46:34.883",NULL,NULL,NULL,NULL,NULL,NULL,"2014-05-28T00:00:00",NULL,NULL,3,13,11,32,"526","137",False,NULL
2678,"Forslag til lov om ændring af lov om stormflod og stormfald. (Dækning af udgifter til genhusning, opmagasinering og flytning samt udbedring af skimmelsvamp m.v.).","Om dækning af udgifter ved stormflod og stormfald. ","O","L 138","L","","Loven udvider stormflodsordningens dækningsområde til også at dække udgifter til genhusning, opmagasinering og flytning samt udbedring af skimmelsvamp. Derudover justerer loven ordningens økonomi som følge af de foreslåede udvidelser og en ændret praksis i brugen af afskrivninger for fast ejendom.

Konkret udvider loven stormflodsordningens dækningsområde til at omfatte erstatning til privatpersoner for omkostninger til genhusning, opmagasinering og flytning. Erstatningen dækker udgifter til genhusning, der varer mere end 1 måned, og kan maksimalt udgøre 12.000 kr. pr. måned. Det bliver desuden muligt at få erstatning for omkostninger til udbedring af skimmelsvamp, som er opstået som en direkte følge af stormflod eller oversvømmelser. 

Ændringen i brugen af afskrivningstabeller på fast ejendom kan ske administrativt, men nødvendiggør, at finansieringen af ordningen bliver justeret med en midlertidig udvidelse af statsgarantien fra 200 mio. kr. til 400 mio. kr. Dette er kombineret med en forøgelse af den årlige afgift, som finansierer ordningen, fra 30 kr. til 40 kr., ligesom den afgift, der bliver opkrævet til at tilbagebetale statsgarantien, er ændret fra 10 kr. til 20 kr. 

Under Folketingets behandling af lovforslaget stillede erhvervs- og vækstministeren ændringsforslag, som giver ministeren bemyndigelse til at fastsætte nærmere regler om erstatningens anvendelse, bl.a. med det formål at give skadesramte mulighed for en mere fleksibel anvendelse af erstatningen. Endvidere blev selvrisikoen på fast ejendom og løsøre nedsat, og der blev sat loft over selvrisikoen, ligesom der blev indført dispensationsmulighed for anmeldelsesfristen. 

Loven trådte i kraft den 17. april 2014 og har tilbagevirkende kraft, for så vidt angår dækningen af genhusning m.v. og skimmelsvamp. Loven har virkning for skader indtrådt fra den 6. december 2013, således at loven kan komme de allerede skadesramte som følge af stormfloden i forbindelse med stormen Bodil til gode.","Vedtaget  102 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)  0 stemmer imod forslaget  0 stemmer hverken for eller imod forslaget  ",NULL,NULL,"2017-12-05T19:46:33.35",NULL,NULL,NULL,NULL,NULL,NULL,"2014-04-15T00:00:00",NULL,NULL,3,13,11,32,"377","138",False,NULL
2679,"Forslag til folketingsbeslutning om en samlet plan for udbud af togdriften for passagertrafik.","Om en samlet plan for udbud af togdriften for passagertrafik.","O","B 55","B","","Med beslutningsforslaget opfordredes regeringen til at udarbejde en samlet plan for udbud af togdriften for passagertrafik opdelt i passende sammenhængende pakker med det mål at sikre en bedre og billigere togdrift i Danmark.","Forkastet

51 stemmer for forslaget (V, DF, LA, KF)

58 stemmer imod forslaget (S, RV, SF, EL, UFG)

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2018-10-02T12:56:47.79",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,15,3,32,NULL,"55",False,NULL
2680,"Forslag til lov om ændring af lov om ægteskabs indgåelse og opløsning. (Udvidelse af den borgerlige vielsesmyndigheds stedlige vielseskompetence).","Om udvidelse af borgerlig vielsesmyndigheds vielseskompetence.","O","L 145","L","","En borgerlig vielse foregår som regel på rådhuset i kommunen. Nogle borgere ønsker dog at blive gift et sted, der har en særlig betydning for dem. Mange kommuner tilbyder, at parterne (eventuelt mod betaling af meromkostningerne) kan blive gift et andet sted i kommunen end på rådhuset. I nogle situationer ønsker borgerne imidlertid at blive gift uden for kommunen – enten uden for kommuneinddelingen (på havet) eller i en anden kommune – og det tillader loven ikke i dag.

Loven medfører, at borgmestre fremover kan foretage vielser uden for kommunen, både uden for kommuneinddelingen (f.eks. på havet) eller i en anden kommune efter forudgående godkendelse fra den pågældende anden kommune. 

Loven trådte i kraft den 1. juli 2014.","Vedtaget

106 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:46:38.287",NULL,NULL,NULL,NULL,NULL,NULL,"2014-05-21T00:00:00",NULL,NULL,3,13,11,32,"484","145",False,NULL
2681,"Forslag til folketingsbeslutning om Danmarks ratifikation af den valgfri protokol af 13. december 2006 til konventionen om rettigheder for personer med handicap.","Om konventionen om rettigheder for personer med handicap.","O","B 58","B","","Danmark har ratificeret FN's konvention af 13. december 2006 om rettigheder for personer med handicap. Med denne folketingsbeslutning ratificerer Danmark desuden den valgfri protokol til konventionen om individuel klageadgang til handicapkomiteen. 

Dansk ratifikation af protokollen giver enkeltpersoner og grupper af personer mulighed for at klage til FN's komité om rettigheder for personer med handicap, hvis de finder, at deltagerstaten, i dette tilfælde Danmark, har krænket deres rettigheder i henhold til FN's handicapkonvention. Klageadgangen omfatter alle rettigheder, der er indeholdt i FN's handicapkonvention. Det er en forudsætning for, at komiteen kan behandle en klage, at en række klagebetingelser er opfyldt, herunder at alle nationale retsmidler skal være udtømt.","Vedtaget

91 stemmer for forslaget (V, S, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

13 stemmer hverken for eller imod forslaget (DF)

",NULL,NULL,"2019-02-20T10:04:42.287",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,17,10,32,NULL,"58",False,NULL
2682,"Forslag til lov om ændring af aktieavancebeskatningsloven, selskabsskatteloven og skattekontrolloven. (Selskaber m.v.s registrering af fremførselsberettigede underskud, oplysningspligt om erhvervelse af visse aktier og investeringsbeviser m.v., selvangivelse af kildeartsbegrænsede tab m.v.)","Om selskabers registrering af fremførselsberettigede underskud m.v. ","O","L 144","L","","Loven indeholder følgende elementer: 
- Selskaber m.v. forpligtes til at engangsregistrere fremførselsberettigede underskud og gennemførte skattefri omstruktureringer af betydning for underskudsanvendelsen til SKATs underskudsregister. Manglende indberetning medfører, at underskud fortabes. 
- Fradrag for tab på visse aktier og investeringsbeviser gøres betinget af, at SKAT har modtaget oplysning om erhvervelsen.
- Brug af kildeartsbegrænsede tab til modregning i skattepligtige avancer gøres betinget af, at det kildeartsbegrænsede tab er selvangivet. 
- Der sker udvidelse af værnsreglen, der sikrer, at finansielle virksomheder ikke via sambeskatning opnår dobbeltfradrag på fordringer mod et midlertidigt overtaget selskab.
- Ved vedtagelse af ændringsforslag fra skatteministeren blev det besluttet, at juridiske personer, som efter skattekontrollovens § 4, stk. 2, skal indgive selvangivelse i perioden fra den 1. oktober til den 31. juli efter indkomstårets udløb, hvis selvangivelsesfristen for indkomståret udløber i den periode, hvor indberetningen af fremførselsberettigede underskud finder sted, kan vente med at indgive selvangivelse for indkomståret til den 1. august i året efter indkomstårets udløb.
","Vedtaget

70 stemmer for forslaget (S, DF, RV, SF, EL, UFG)

39 stemmer imod forslaget (V, LA, KF)

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:46:37.873",NULL,NULL,NULL,NULL,NULL,NULL,"2014-05-28T00:00:00",NULL,NULL,3,13,11,32,"528","144",False,NULL
2683,"Forslag til lov om ændring af lov om ægteskabs indgåelse og opløsning og børneloven. (Simpel vold og seksuelle overgreb som skilsmissegrund m.v.).","Om simpel vold og seksuelle overgreb som skilsmissegrund m.v.","O","L 146","L","","Ifølge loven skal en ægtefælle have ret til skilsmisse, når den anden ægtefælle har udøvet vold, uanset om der er tale om simpel vold eller vold af grovere karakter. Adgangen til skilsmisse er også udvidet til at omfatte seksuelle overgreb mod ægtefællen eller børnene. Derudover er personkredsen udvidet til også at omfatte ægtefællens og ægtefællernes børns nærmeste pårørende, som ægtefællen eller børnene er knyttet til, samt andre børn end ægtefællernes børn. 

Loven medfører desuden, at ægteskabsloven konsekvensrettes i relation til reglerne i arveloven og redaktionelle ændringer i børneloven.

Loven trådte i kraft den 1. juli 2014.","Vedtaget

106 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:46:38.087",NULL,NULL,NULL,NULL,NULL,NULL,"2014-05-21T00:00:00",NULL,NULL,3,13,11,32,"485","146",False,NULL
2684,"Forslag til lov om registrerede socialøkonomiske virksomheder.","Om registrerede socialøkonomiske virksomheder.","O","L 148","L","","Loven etablerer en registreringsmodel for socialøkonomiske virksomheder frem for en selskabsform. Virksomheder gives eneret til betegnelsen »registreret socialøkonomisk virksomhed«, når de opfylder disse betingelser og
– har et socialt formål, dvs. et socialt, beskæftigelses-, sundheds-, miljømæssigt eller kulturelt sigte,
– er erhvervsdrivende,
– er uafhængige af det offentlige,
– er inddragende og ansvarlige i deres virke
– har en social håndtering af deres overskud. 

Registrerede virksomheder forpligtes til at indrapportere oplysninger, der sikrer transparens om deres virke. Brud på eneretten til benyttelse af betegnelsen registreret socialøkonomisk virksomhed og manglende social håndtering af overskud kan straffes med bøde. Overtrædelse af andre bestemmelser vil medføre afregistrering, hvis ikke forholdet afhjælpes inden for en rimelig frist. Afgørelser truffet af Ministeriet for Børn, Ligestilling, Integration og Sociale Forhold vedrørende registreringsordningen kan indbringes for Ankestyrelsen. 

Under Folketingets behandling af lovforslaget stillede ministeren ændringsforslag om, at Erhvervsstyrelsen bliver registreringsmyndighed, således at en virksomheds registrering som socialøkonomisk virksomhed kan ske samme sted som registrering af cvr-nummer.

Loven udmønter anbefalingen fra Udvalget for socialøkonomiske virksomheder om, at der oprettes en registreringsordning for socialøkonomiske virksomheder. Udvalget for socialøkonomiske virksomheder blev nedsat i februar 2013 som et led i den politiske aftale om finansloven for 2013 indgået mellem regeringen (S, RV, SF) og Enhedslisten. Formålet med lovforslaget er at skabe grundlag for en fælles identitet for socialøkonomiske virksomheder.

Ministeren fastsætter tidspunkt for lovens ikrafttræden. ","
Vedtaget

74 stemmer for forslaget (S, DF, RV, SF, EL, KF)

34 stemmer imod forslaget (V, LA)

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:46:39.627",NULL,NULL,NULL,NULL,NULL,NULL,"2014-06-25T00:00:00",NULL,NULL,3,13,11,32,"711","148",False,NULL
2685,"Forslag til lov om ændring af lov om en aktiv beskæftigelsesindsats, lov om aktiv socialpolitik og lov om fleksydelse. (Beregning af fleksløntilskud, fortsat tilmelding til fleksydelsesordningen m.v.).","Om fleksydelsesordningen m.v.","O","L 140","L","","Loven indeholder en række ændringer, der præciserer eller retter op på uklarheder i reglerne om fleksjob m.v., jf. lov nr. 1380 af 23. december 2012.

Loven indeholder følgende hovedelementer:  
- Det præciseres, at fleksløntilskuddet er et supplement til den løn, som den ansatte i fleksjobbet modtager fra arbejdsgiveren.
- Beskrivelsen af, hvilken indkomstform der indgår i lønindtægten, udgår af loven.
- Der indsættes bemyndigelse til, at beskæftigelsesministeren kan fastsætte nærmere regler om, hvordan indtægter, f.eks. resultatløn, som dækker flere måneder, skal fordeles, hvordan fleksløntilskuddet skal beregnes, og hvordan og hvornår der skal ske fradrag for indtægten.
- Der indsættes regler om tilbagebetaling af for meget udbetalt fleksløntilskud.
- Personer, der bliver ledige efter et fleksjob, vil under ferie kunne få suppleret feriegodtgørelse eller ferie med løn med ledighedsydelse.
- Personer, der er syge, på barsel eller lignende i en længere periode og derfor ikke har pligt til at stå til rådighed for et fleksjob, bliver fritaget for at skulle lægge deres cv i Jobnet i den periode.
- Der indføres regler om, at personer, der ophører med deres selvstændige virksomhed efter at have modtaget støtte i form af tilskud til videreførelse af selvstændig virksomhed med nedsat arbejdsevne, eller som visiteres til ressourceforløb efter de regler, der trådte i kraft den 1. januar 2013, kan bevare muligheden for at være tilmeldt fleksydelsesordningen.
",NULL,NULL,NULL,"2017-12-05T19:46:40.037",NULL,NULL,NULL,NULL,NULL,NULL,"2014-04-28T00:00:00",NULL,NULL,3,13,11,32,"400","140",False,NULL
2686,"Forslag til lov om ændring af lov om folkeskolen og forskellige andre love. (Forenkling af regelsættet Fælles Mål, kvalitetsrapporter og elevplaner samt opfølgning på mål for folkeskolen m.v.).","Om folkeskolen, Fælles Mål, kvalitetsrapporter og elevplaner m.v.","O","L 150","L","","Loven gennemfører dele af folkeskolereformen og indebærer bl.a., at Fælles Mål indeholder konkrete mål for elevernes læring. Arbejdet med elevplaner bliver enklere og med fokus på fremadrettede læringsmål. Kvalitetsrapporter skal udarbejdes hvert andet år i stedet for årligt og skal fungere som et mål- og resultatstyringsværktøj. Kvalitetstilsyn skal primært have fokus på kvalitetsudvikling.","Vedtaget

99 stemmer for forslaget (V, S, DF, RV, SF, KF)

13 stemmer imod forslaget (EL, LA)

1 stemmer hverken for eller imod forslaget (UFG)

",NULL,NULL,"2017-12-05T19:46:40.283",NULL,NULL,NULL,NULL,NULL,NULL,"2014-04-28T00:00:00",NULL,NULL,3,13,11,32,"406","150",False,NULL
2687,"Forslag til lov om ændring af lov om social service og lov om socialtilsyn. (Indførelse af takstsystem, godkendelsesordning, kursus i arbejdsgiver- og arbejdslederfunktioner m.v. i ordninger med kontant tilskud til ansættelse af hjælpere og borgerstyret personlig assistance).","Om ordninger med kontant tilskud til ansættelse af hjælpere og borgerstyret personlig assistance m.v.","O","L 147","L","","Lovforslaget er en del af en aftale mellem regeringen (Socialdemokraterne, Radikale Venstre og Socialistisk Folkeparti), Venstre, Det Konservative Folkeparti, Dansk Folkeparti og Liberal Alliance om at justere reglerne om kontant tilskud til at ansætte hjælpere og borgerstyret personlig assistance til borgere med nedsat funktionsevne efter §§ 95 og 96 i lov om social service (serviceloven).

Ifølge forslaget skal borgeren eller den nærtstående som led i kommunalbestyrelsens vurdering af, om den pågældende kan fungere som arbejdsgiver og/eller arbejdsleder, som udgangspunkt have gennemført et kursus. Der foreslås desuden et takstsystem for udmåling af tilskud til ansættelse af hjælpere og borgerstyret personlig assistance. 

Med forslaget indføres en godkendelsesordning, hvor socialtilsynet får til opgave at godkende og føre tilsyn med foreninger og private virksomheder, der ønsker at varetage arbejdsgiverfunktioner i ordninger med kontant tilskud til ansættelse af hjælpere og borgerstyret personlig assistance. Der indføres endvidere en maksimal grænse på 37 timers ugentlig arbejdstid i forhold til opgaven med pasning af borgeren med funktionsnedsættelse for nærtstående, der fungerer som hjælper, og som samtidig varetager arbejdsgiver- og arbejdslederfunktionerne.",NULL,NULL,NULL,"2017-12-05T19:46:39.83",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,13,13,32,NULL,"147",False,NULL
2688,"Forslag til lov om ændring af lov om Danmarks Evalueringsinstitut. (Danmarks Evalueringsinstituts initiativret til at iværksætte evalueringer på folkeskoleområdet).","Om evalueringer på folkeskoleområdet.","O","L 149","L","","Loven gør det muligt for Danmarks Evalueringsinstitut på eget initiativ at iværksætte evalueringer på grundskoleområdet.","Vedtaget

112 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:46:40.707",NULL,NULL,NULL,NULL,NULL,NULL,"2014-04-28T00:00:00",NULL,NULL,3,13,11,32,"405","149",False,NULL
2689,"Forslag til lov om ændring af udlændingeloven. (Ændring af kriterierne for udvælgelse af kvoteflygtninge).","Om kriterierne for udvælgelse af kvoteflygtninge.","O","L 141","L","","Loven har til formål at ændre kriterierne for udvælgelse af kvoteflygtninge. Det såkaldte integrationspotentialekriterium, som fokuserer på kvoteflygtningenes forudsætninger for integration i Danmark, ophæves. I stedet skal der i kriterierne for udvælgelse af kvoteflygtninge fremover lægges vægt på, hvad det danske samfund kan tilbyde de pågældende flygtninge, sammenholdt med flygtningenes konkrete behov og forventninger.","Vedtaget

57 stemmer for forslaget (S, RV, SF, EL, UFG)

50 stemmer imod forslaget (V, DF, LA, KF)

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:46:40.55",NULL,NULL,NULL,NULL,NULL,NULL,"2014-05-26T00:00:00",NULL,NULL,3,13,11,32,"515","141",False,NULL
2690,"Forslag til lov om kommunernes overtagelse af de regionale lands- og landsdelsdækkende undervisningstilbud.","Om kommunernes overtagelse af regionale undervisningstilbud.","O","L 151","L","","Med loven får kommunalbestyrelsen i den kommune, hvor et regionalt lands- eller landsdelsdækkende undervisningstilbud er beliggende, mulighed for at overtage undervisningstilbuddet. Efter aftale med kommunalbestyrelsen i beliggenhedskommunen kan en anden kommune også overtage et regionalt lands- eller landsdelsdækkende undervisningstilbud. Overtagelsen indebærer, at kommunen overtager elever, personale, bygninger og inventar m.v. 

De fem regionale lands- og landsdelsdækkende undervisningstilbud, der drives i henhold til folkeskoleloven, varetager den mest specialiserede undervisning af børn og unge inden for områderne døve og hørehæmmede, døvblinde, synshandicappede og fysisk handicappede.

Loven skal fremme kommunal overtagelse af de regionale lands- og landsdelsdækkende undervisningstilbud, således at sammenhængen mellem specialundervisningen og den almindelige undervisning bliver styrket. ","Vedtaget

108 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:46:42.15",NULL,NULL,NULL,NULL,NULL,NULL,"2014-06-16T00:00:00",NULL,NULL,3,13,11,32,"632","151",False,NULL
